machine_id,time_cycles,sensor_temp,sensor_pressure,sensor_vibration,op_mode,op_setting,RUL
M-002,88,501.45,48.03,0.093,10.0,0.9,45
M-002,89,502.87,48.0,0.0992,20.0,0.5,44
M-002,90,502.84,48.05,0.0985,20.0,0.1,43
M-002,91,503.4,47.64,0.1009,30.0,0.5,42
M-002,92,502.99,47.64,0.0876,20.0,0.1,41
M-002,93,502.61,47.92,0.0988,30.0,0.5,40
M-002,94,503.22,47.86,0.0959,10.0,0.1,39
M-002,95,503.52,47.66,0.1023,10.0,0.5,38
M-002,96,501.98,47.74,0.096,10.0,0.1,37
M-002,97,504.09,47.57,0.1007,10.0,0.9,36
M-002,98,503.69,47.26,0.1004,30.0,0.5,35
M-002,99,503.94,47.26,0.1078,10.0,0.1,34
M-002,100,503.83,47.59,0.097,10.0,0.1,33
M-002,101,504.07,47.34,0.1035,10.0,0.9,32
M-002,102,505.45,47.29,0.1082,10.0,0.5,31
M-002,103,503.97,47.42,0.1084,20.0,0.1,30
M-002,104,504.32,47.63,0.1075,20.0,0.5,29
M-002,105,504.17,47.27,0.0992,20.0,0.9,28
M-002,106,505.27,46.93,0.1142,30.0,0.5,27
M-002,107,505.6,46.89,0.1099,30.0,0.5,26
M-002,108,505.19,47.15,0.1073,30.0,0.5,25
M-002,109,505.62,46.93,0.118,30.0,0.1,24
M-002,110,505.59,47.09,0.1218,30.0,0.9,23
M-002,111,505.5,47.13,0.1132,20.0,0.5,22
M-002,112,506.38,46.42,0.123,10.0,0.1,21
M-002,113,506.29,46.58,0.1211,20.0,0.5,20
M-002,114,506.22,46.59,0.1248,20.0,0.5,19
M-002,115,506.62,46.7,0.1206,20.0,0.5,18
M-002,116,507.48,46.22,0.1293,10.0,0.5,17
M-002,117,508.0,46.25,0.1199,10.0,0.1,16
M-002,118,506.32,46.29,0.126,30.0,0.9,15
M-002,119,507.83,46.08,0.1275,10.0,0.5,14
M-002,120,508.61,45.89,0.1297,30.0,0.9,13
M-002,121,508.35,46.27,0.129,30.0,0.9,12
M-002,122,508.41,45.93,0.1302,10.0,0.1,11
M-002,123,507.93,45.79,0.1339,20.0,0.5,10
M-002,124,509.33,45.75,0.1391,20.0,0.1,9
M-002,125,508.31,45.89,0.1374,30.0,0.9,8
M-002,126,509.25,45.99,0.1339,10.0,0.5,7
M-002,127,509.2,45.89,0.141,30.0,0.9,6
M-002,128,508.35,46.17,0.1421,20.0,0.1,5
M-002,129,509.17,45.68,0.1452,10.0,0.5,4
M-002,130,509.8,45.34,0.1377,30.0,0.9,3
M-002,131,509.81,45.49,0.1403,20.0,0.1,2
M-002,132,511.44,45.47,0.1423,20.0,0.1,1
M-002,133,510.5,45.26,0.1477,30.0,0.9,0
M-003,1,490.04,50.42,0.0334,10.0,0.9,138
M-003,2,490.66,50.94,0.0339,20.0,0.5,137
M-003,3,488.9,50.84,0.031,10.0,0.9,136
M-003,4,489.36,50.74,0.0327,20.0,0.1,135
M-003,5,489.82,50.61,0.0398,30.0,0.5,134
M-003,6,488.96,50.68,0.029,20.0,0.5,133
M-003,7,489.67,50.62,0.027,20.0,0.5,132
M-003,8,489.44,50.52,0.04,20.0,0.5,131
M-003,9,490.39,50.65,0.0368,20.0,0.1,130
M-003,10,489.98,50.56,0.0409,20.0,0.1,129
M-003,11,489.68,50.62,0.0392,10.0,0.5,128
M-003,12,489.99,50.64,0.0352,10.0,0.5,127
M-003,13,489.07,50.45,0.0377,30.0,0.5,126
M-003,14,489.05,51.11,0.0318,30.0,0.5,125
M-003,15,489.88,50.84,0.0381,30.0,0.5,124
M-003,16,489.86,50.78,0.0408,20.0,0.1,123
M-003,17,489.71,50.55,0.0384,20.0,0.1,122
M-003,18,490.23,50.51,0.0513,10.0,0.9,121
M-003,19,491.22,50.58,0.0351,30.0,0.9,120
M-003,20,490.28,50.42,0.037,10.0,0.5,119
M-003,21,490.3,50.63,0.0297,20.0,0.5,118
M-003,22,489.76,50.75,0.0367,10.0,0.9,117
M-003,23,490.88,50.84,0.0381,20.0,0.5,116
M-003,24,490.9,50.47,0.0374,10.0,0.5,115
M-003,25,489.81,50.46,0.0444,30.0,0.1,114
M-003,26,490.99,50.41,0.0365,10.0,0.5,113
M-003,27,489.75,50.5,0.0396,10.0,0.9,112
M-003,28,490.81,50.3,0.0315,20.0,0.9,111
M-003,29,490.8,50.67,0.0407,30.0,0.1,110
M-003,30,490.32,50.39,0.0431,30.0,0.1,109
M-003,31,489.96,50.48,0.0317,30.0,0.1,108
M-003,32,491.53,50.23,0.0416,20.0,0.9,107
M-003,33,489.87,50.13,0.0495,10.0,0.1,106
M-003,34,490.5,50.66,0.0369,10.0,0.1,105
M-003,35,490.61,50.6,0.0499,30.0,0.5,104
M-003,36,491.32,50.66,0.051,30.0,0.1,103
M-003,37,491.0,50.24,0.0536,10.0,0.1,102
M-003,38,490.9,50.52,0.0501,30.0,0.9,101
M-003,39,490.49,50.6,0.0394,30.0,0.9,100
M-003,40,490.28,50.11,0.0474,30.0,0.5,99
M-003,41,491.15,50.16,0.0413,20.0,0.9,98
M-003,42,491.52,50.48,0.0418,10.0,0.1,97
M-003,43,490.52,50.16,0.0475,20.0,0.1,96
M-003,44,490.75,50.32,0.0573,20.0,0.9,95
M-003,45,492.01,50.57,0.0507,20.0,0.9,94
M-003,46,491.65,50.02,0.0484,30.0,0.5,93
M-003,47,492.45,49.94,0.0468,20.0,0.1,92
M-003,48,491.36,49.87,0.053,20.0,0.9,91
M-003,49,491.4,50.22,0.0595,20.0,0.1,90
M-003,50,491.99,49.83,0.0506,30.0,0.5,89
M-003,51,491.31,50.24,0.0586,20.0,0.1,88
M-003,52,491.96,49.91,0.0518,20.0,0.9,87
M-003,53,491.29,50.0,0.0461,10.0,0.1,86
M-003,54,491.08,50.11,0.0587,20.0,0.9,85
M-003,55,492.56,49.99,0.0462,20.0,0.1,84
M-003,56,492.02,50.03,0.0544,30.0,0.5,83
M-003,57,491.58,50.11,0.0571,30.0,0.9,82
M-003,58,492.61,49.67,0.0613,10.0,0.5,81
M-003,59,492.52,49.88,0.0586,30.0,0.9,80
M-003,60,492.9,49.78,0.0612,30.0,0.1,79
M-003,61,492.45,49.58,0.0618,20.0,0.9,78
M-003,62,493.0,49.82,0.052,20.0,0.9,77
M-003,63,493.37,49.59,0.0579,10.0,0.5,76
M-003,64,492.47,49.57,0.0592,20.0,0.9,75
M-003,65,492.86,49.66,0.0709,30.0,0.9,74
M-003,66,492.92,49.41,0.061,10.0,0.5,73
M-003,67,493.23,49.83,0.0552,10.0,0.9,72
M-003,68,493.14,49.41,0.0539,10.0,0.9,71
M-003,69,493.71,49.64,0.0566,10.0,0.1,70
M-003,70,494.04,49.45,0.0732,30.0,0.9,69
M-003,71,494.04,49.6,0.0643,30.0,0.1,68
M-003,72,493.75,49.54,0.0717,20.0,0.1,67
M-003,73,494.06,49.39,0.062,10.0,0.1,66
M-003,74,494.22,49.04,0.0508,10.0,0.5,65
M-003,75,494.15,49.34,0.0632,30.0,0.5,64
M-003,76,494.26,49.26,0.0671,20.0,0.1,63
M-003,77,494.49,48.98,0.0691,10.0,0.1,62
M-003,78,494.14,48.96,0.0635,30.0,0.9,61
M-003,79,494.44,49.19,0.0733,20.0,0.1,60
M-003,80,494.27,48.97,0.0695,20.0,0.5,59
M-003,81,493.83,49.19,0.0758,20.0,0.9,58
M-003,82,494.56,49.15,0.0668,30.0,0.9,57
M-003,83,494.93,49.14,0.0746,20.0,0.1,56
M-003,84,495.46,48.99,0.073,10.0,0.9,55
M-003,85,494.9,48.99,0.0675,10.0,0.1,54
M-003,86,494.91,48.7,0.0829,10.0,0.9,53
M-003,87,495.82,49.16,0.0807,30.0,0.5,52
M-003,88,494.58,49.16,0.0813,20.0,0.5,51
M-003,89,495.74,48.91,0.0795,10.0,0.5,50
M-003,90,495.55,48.96,0.0771,30.0,0.5,49
M-003,91,496.04,48.87,0.0761,20.0,0.9,48
M-003,92,495.88,48.7,0.0843,30.0,0.1,47
M-003,93,495.93,48.59,0.0892,10.0,0.9,46
M-003,94,496.76,48.27,0.0828,30.0,0.1,45
M-003,95,497.34,48.31,0.0792,30.0,0.5,44
M-003,96,495.8,48.32,0.0798,30.0,0.5,43
M-003,97,496.88,48.15,0.0811,30.0,0.1,42
M-003,98,497.63,48.4,0.0852,20.0,0.5,41
M-003,99,498.32,47.83,0.0891,10.0,0.9,40
M-003,100,496.91,48.66,0.0891,30.0,0.1,39
M-003,101,498.02,48.21,0.0943,20.0,0.5,38
M-003,102,497.47,47.87,0.096,10.0,0.9,37
M-003,103,497.41,47.98,0.0868,20.0,0.5,36
M-003,104,498.69,47.7,0.0912,30.0,0.1,35
M-003,105,498.86,48.4,0.0964,20.0,0.5,34
M-003,106,498.59,47.67,0.0976,10.0,0.1,33
M-003,107,498.68,48.03,0.0907,30.0,0.5,32
M-003,108,499.33,47.68,0.1034,10.0,0.5,31
M-003,109,499.0,47.68,0.0899,20.0,0.5,30
M-003,110,499.18,47.48,0.1073,20.0,0.1,29
M-003,111,498.88,47.67,0.0945,20.0,0.1,28
M-003,112,500.45,47.47,0.1075,30.0,0.9,27
M-003,113,499.17,47.49,0.0967,30.0,0.9,26
M-003,114,500.39,47.46,0.0987,10.0,0.9,25
M-003,115,500.41,47.04,0.1056,20.0,0.9,24
M-003,116,501.12,47.46,0.0995,20.0,0.1,23
M-003,117,500.7,47.33,0.1013,10.0,0.5,22
M-003,118,500.93,47.27,0.118,30.0,0.5,21
M-003,119,499.85,46.61,0.1105,30.0,0.9,20
M-003,120,501.44,46.9,0.1106,20.0,0.5,19
M-003,121,501.34,47.12,0.1173,30.0,0.1,18
M-003,122,502.29,47.01,0.1116,20.0,0.5,17
M-003,123,500.6,46.92,0.1185,10.0,0.9,16
M-003,124,501.2,46.95,0.1246,10.0,0.9,15
M-003,125,502.12,47.14,0.1148,30.0,0.9,14
M-003,126,502.43,46.48,0.1188,10.0,0.9,13
M-003,127,503.09,46.54,0.1174,30.0,0.1,12
M-003,128,502.44,46.27,0.1207,30.0,0.5,11
M-003,129,502.45,46.36,0.1222,10.0,0.1,10
M-003,130,503.14,46.64,0.1295,20.0,0.1,9
M-003,131,502.93,45.94,0.1298,20.0,0.1,8
M-003,132,503.13,46.25,0.1243,30.0,0.9,7
M-003,133,503.33,45.74,0.1303,10.0,0.1,6
M-003,134,503.03,46.05,0.1294,20.0,0.1,5
M-003,135,503.7,45.87,0.1324,20.0,0.5,4
M-003,136,504.74,46.02,0.1313,10.0,0.1,3
M-003,137,504.7,45.76,0.1388,30.0,0.1,2
M-003,138,504.53,45.79,0.1321,30.0,0.5,1
M-003,139,504.52,45.51,0.1394,10.0,0.1,0
M-004,1,491.04,48.89,0.0584,20.0,0.1,140
M-004,2,490.99,48.37,0.0567,30.0,0.9,139
M-004,3,491.46,48.7,0.0629,30.0,0.1,138
M-004,4,490.62,48.58,0.0674,30.0,0.1,137
M-004,5,490.82,48.95,0.0623,30.0,0.1,136
M-004,6,491.04,48.56,0.061,10.0,0.1,135
M-004,7,489.88,48.66,0.0739,20.0,0.1,134
M-004,8,490.5,48.82,0.0555,30.0,0.1,133
M-004,9,491.19,49.04,0.0631,20.0,0.9,132
M-004,10,491.19,48.79,0.0568,20.0,0.5,131
M-004,11,490.08,48.86,0.0563,30.0,0.1,130
M-004,12,489.73,48.4,0.0576,20.0,0.9,129
M-004,13,491.62,48.92,0.0562,10.0,0.9,128
M-004,14,491.59,48.56,0.0591,10.0,0.5,127
M-004,15,491.52,49.02,0.0586,20.0,0.9,126
M-004,16,490.79,48.96,0.0557,10.0,0.5,125
M-004,17,491.05,48.96,0.0571,10.0,0.1,124
M-004,18,491.01,48.73,0.064,10.0,0.5,123
M-004,19,490.42,48.64,0.0531,10.0,0.5,122
M-004,20,490.82,48.84,0.0606,20.0,0.1,121
M-004,21,490.98,48.78,0.0547,10.0,0.1,120
M-004,22,490.5,49.21,0.0537,10.0,0.5,119
M-004,23,491.42,48.57,0.0683,10.0,0.9,118
M-004,24,490.9,48.66,0.0566,30.0,0.1,117
M-004,25,491.2,48.74,0.0682,10.0,0.9,116
M-004,26,490.29,48.7,0.0619,30.0,0.1,115
M-004,27,491.8,49.01,0.0578,10.0,0.1,114
M-004,28,491.54,49.13,0.0567,30.0,0.9,113
M-004,29,491.46,48.94,0.0627,10.0,0.1,112
M-004,30,491.52,48.55,0.059,20.0,0.9,111
M-004,31,491.38,48.18,0.0785,30.0,0.9,110
M-004,32,491.95,48.69,0.0664,30.0,0.5,109
M-004,33,491.79,48.59,0.0548,30.0,0.9,108
M-004,34,490.71,48.77,0.068,30.0,0.9,107
M-004,35,492.2,48.45,0.0658,10.0,0.9,106
M-004,36,492.18,48.61,0.0678,20.0,0.5,105
M-004,37,492.29,48.65,0.0633,20.0,0.1,104
M-004,38,491.99,48.67,0.0649,30.0,0.5,103
M-004,39,491.58,48.59,0.0705,10.0,0.1,102
M-004,40,492.26,48.56,0.0721,10.0,0.9,101
M-004,41,492.14,48.51,0.0676,20.0,0.5,100
